Date,Close Price
2025-04-28,570.0
2025-04-29,570.0
2025-04-30,570.0
2025-05-01,570.0
2025-05-05,570.0
2025-05-06,650.0
2025-05-08,647.5
2025-05-09,647.5
2025-05-12,647.5
2025-05-13,647.5
2025-05-14,575.0
2025-05-15,575.0
2025-05-16,574.03
2025-05-19,566.51
2025-05-20,566.71
2025-05-21,575.0
2025-05-22,575.0
2025-05-23,575.0
2025-05-26,565.0
2025-05-27,565.0
2025-05-28,565.0
2025-05-29,565.0
2025-05-30,565.0
2025-06-02,565.0
2025-06-03,565.0
2025-06-04,565.0
2025-06-05,565.0
2025-06-06,565.0
2025-06-09,560.0
2025-06-10,560.0
